,buildingaddress,buildingsize,greenmarkrating,EUI,year,postal,latitude,longtitude
0,"137 MARKET STREET, SINGAPORE 048943",Small,GoldPlus,115.42,2020,48943,1.282229575,103.8505194
1,"137 MARKET STREET, SINGAPORE 048943",Small,GoldPlus,165.5217634194831,2019,48943,1.282229575,103.8505194
2,"1 HARBOURFRONT WALK, SINGAPORE 098585",Large,Platinum,394.04,2020,98585,1.264304765,103.8223086
3,"1 HARBOURFRONT WALK, SINGAPORE 098585",Large,Platinum,502.30009996289897,2019,98585,1.264304765,103.8223086
4,"144 UPPER BUKIT TIMAH ROAD, SINGAPORE 588177",Large,GoldPlus,124.2,2020,588177,1.342412642,103.7765394
5,"144 UPPER BUKIT TIMAH ROAD, SINGAPORE 588177",Large,GoldPlus,134.83106123704508,2019,588177,1.342412642,103.7765394
6,"140 HILL STREET, SINGAPORE 179369",Large,Platinum,130.4,2020,179369,1.29076548,103.8482016
7,"140 HILL STREET, SINGAPORE 179369",Large,Platinum,143.67204346328958,2019,179369,1.29076548,103.8482016
8,"1500 BENDEMEER ROAD, SINGAPORE 339946",Large,Platinum,145.51,2020,339946,1.32630295,103.8690356
9,"1500 BENDEMEER ROAD, SINGAPORE 339946",Large,Platinum,136.06280837858804,2019,339946,1.32630295,103.8690356
10,"12 QUEEN STREET, SINGAPORE 188553",Small,Gold,192.91,2020,188553,1.297550852,103.8522336
11,"12 QUEEN STREET, SINGAPORE 188553",Large,Gold,225.59637883008355,2019,188553,1.297550852,103.8522336
12,"133 CECIL STREET, SINGAPORE 069535",Large,Certified,120.44,2020,69535,1.280236094,103.849
13,"133 CECIL STREET, SINGAPORE 069535",Large,Certified,143.5838760699665,2019,69535,1.280236094,103.849
14,"1 RAFFLES LINK, SINGAPORE 039393",Large,Platinum,296.75,2020,39393,1.292777731,103.8541735
15,"1 RAFFLES LINK, SINGAPORE 039393",Large,GoldPlus,376.34125551267914,2019,39393,1.292777731,103.8541735
16,"300 BEACH ROAD, SINGAPORE 199555",Large,Platinum,110.68,2020,199555,1.301047423,103.8626261
17,"300 BEACH ROAD, SINGAPORE 199555",Large,Platinum,134.0308265482754,2019,199555,1.301047423,103.8626261
18,"1 ROBINSON ROAD, SINGAPORE 048542",Large,Certified,191.06,2020,48542,1.281979637,103.851115
19,"1 ROBINSON ROAD, SINGAPORE 048542",Large,Certified,217.50634982979838,2019,48542,1.281979637,103.851115
20,"371 ALEXANDRA ROAD, SINGAPORE 159963",Large,Certified,194.36,2020,159963,1.284737497,103.8025752
21,"371 ALEXANDRA ROAD, SINGAPORE 159963",Large,Certified,226.6495260264752,2019,159963,1.284737497,103.8025752
22,"20 HARBOUR DRIVE, SINGAPORE 117612",Large,Certified,122.55,2020,117612,1.283084826,103.7793515
23,"20 HARBOUR DRIVE, SINGAPORE 117612",Large,Certified,150.75438708288482,2019,117612,1.283084826,103.7793515
24,"1 MARITIME SQUARE, SINGAPORE 099253",Large,Platinum,184.46,2020,99253,1.263969912,103.8202433
25,"1 MARITIME SQUARE, SINGAPORE 099253",Large,Platinum,226.32716980798574,2019,99253,1.263969912,103.8202433
26,"133 NEW BRIDGE ROAD, SINGAPORE 059413",Large,Certified,314.99,2020,59413,1.284998828,103.8446971
27,"133 NEW BRIDGE ROAD, SINGAPORE 059413",Large,Certified,356.302471566139,2019,59413,1.284998828,103.8446971
28,"150 ORCHARD ROAD, SINGAPORE 238841",Large,GoldPlus,152.57,2020,238841,1.301257294,103.8411501
29,"150 ORCHARD ROAD, SINGAPORE 238841",Large,GoldPlus,211.65443240338547,2019,238841,1.301257294,103.8411501
30,"35 ROBINSON ROAD, SINGAPORE 068876",Small,Platinum,281.89,2020,68876,1.279921972,103.8496548
31,"35 ROBINSON ROAD, SINGAPORE 068876",Large,Platinum,328.76128859060407,2019,68876,1.279921972,103.8496548
32,"930 YISHUN AVENUE 2, SINGAPORE 769098",Large,Gold,532.99,2020,769098,1.429698486,103.8357765
33,"930 YISHUN AVENUE 2, SINGAPORE 769098",Large,Gold,587.6956248212754,2019,769098,1.429698486,103.8357765
34,"501 ORCHARD ROAD, SINGAPORE 238880",Large,Gold,233.38,2020,238880,1.304676287,103.830642
35,"501 ORCHARD ROAD, SINGAPORE 238880",Large,Gold,260.3949630314233,2019,238880,1.304676287,103.830642
36,"313 ORCHARD ROAD, SINGAPORE 238895",Large,Platinum,424.9,2020,238895,1.301014355,103.8383607
37,"313 ORCHARD ROAD, SINGAPORE 238895",Large,Platinum,523.1601859043419,2019,238895,1.301014355,103.8383607
38,"50 RAFFLES PLACE, SINGAPORE 048623",Large,GoldPlus,211.03,2020,48623,1.2846977,103.8521332
39,"20 MCCALLUM STREET, SINGAPORE 069046",Small,GoldPlus,151.96,2020,69046,1.279582361,103.8479184
40,"20 MCCALLUM STREET, SINGAPORE 069046",Small,GoldPlus,164.9548224388249,2019,69046,1.279582361,103.8479184
41,"1 RAFFLES QUAY, SINGAPORE 048583",Large,Platinum,192.61,2020,48583,1.281183387,103.8518998
42,"1 RAFFLES QUAY, SINGAPORE 048583",Large,Platinum,290.44426094137077,2019,48583,1.281183387,103.8518998
43,"1 NORTH BRIDGE ROAD, SINGAPORE 179094",Large,Platinum,92.42,2020,179094,1.289988696,103.8492171
44,"1 NORTH BRIDGE ROAD, SINGAPORE 179094",Large,Platinum,111.43438581395353,2019,179094,1.289988696,103.8492171
45,"25 INTERNATIONAL BUSINESS PARK, SINGAPORE 609916",Large,Platinum,99.25,2020,609916,1.325199523,103.7463772
46,"25 INTERNATIONAL BUSINESS PARK, SINGAPORE 609916",Large,Platinum,112.88583899229444,2019,609916,1.325199523,103.7463772
47,"77 ROBINSON ROAD, SINGAPORE 068896",Large,Gold,128.45,2020,68896,1.277752784,103.8484289
48,"77 ROBINSON ROAD, SINGAPORE 068896",Large,Gold,153.25282732035726,2019,68896,1.277752784,103.8484289
49,"307 ALEXANDRA ROAD, SINGAPORE 159943",Large,Platinum,77.49,2020,159943,1.289079119,103.8068826
50,"307 ALEXANDRA ROAD, SINGAPORE 159943",Large,Platinum,80.492581361835,2019,159943,1.289079119,103.8068826
51,"200 CANTONMENT ROAD, SINGAPORE 089763",Large,Certified,124.31,2020,89763,1.273444562,103.8412516
52,"333 ORCHARD ROAD, SINGAPORE 238867",Omit,Gold,179.68,2020,238867,1.302064506,103.836341
53,"333 ORCHARD ROAD, SINGAPORE 238867",Large,Certified,215.31124667605192,2019,238867,1.302064506,103.836341
54,"400 ORCHARD ROAD, SINGAPORE 238875",Large,Certified,123.42,2020,238875,1.306977966,103.8292141
55,"400 ORCHARD ROAD, SINGAPORE 238875",Large,Certified,148.91108902333622,2019,238875,1.306977966,103.8292141
56,"1 BAYFRONT AVENUE, SINGAPORE 018971",Omit,Platinum,243.05,2020,18971,1.283466185,103.8606034
57,"1 BAYFRONT AVENUE, SINGAPORE 018971",Large,Platinum,301.89381012568975,2019,18971,1.283466185,103.8606034
58,"190 CLEMENCEAU AVENUE, SINGAPORE 239924",Small,Gold,146.2,2020,239924,1.298152654,103.8441113
59,"190 CLEMENCEAU AVENUE, SINGAPORE 239924",Small,Gold,178.60312100213218,2019,239924,1.298152654,103.8441113
60,"390 ORCHARD ROAD, SINGAPORE 238871",Large,Platinum,154.95,2020,238871,1.306654845,103.829588
61,"390 ORCHARD ROAD, SINGAPORE 238871",Large,Platinum,187.7887393123522,2019,238871,1.306654845,103.829588
62,"6 IRRAWADDY ROAD, SINGAPORE 329543",Small,Platinum,263.54,2020,329543,1.326147856,103.8455451
63,"10 PASIR PANJANG ROAD, SINGAPORE 117438",Large,Platinum,142.08,2020,117438,1.274827492,103.7990648
64,"10 PASIR PANJANG ROAD, SINGAPORE 117438",Large,Platinum,164.74974897993118,2019,117438,1.274827492,103.7990648
65,"8 MARINA BOULEVARD, SINGAPORE 018981",Omit,Platinum,154.17,2020,18981,1.279468112,103.8537496
66,"8 MARINA BOULEVARD, SINGAPORE 018981",Large,Platinum,202.00058189757183,2019,18981,1.279468112,103.8537496
67,"5 CHANGI BUSINESS PARK VISTA, SINGAPORE 486040",Large,Platinum,495.97,2020,486040,1.337779098,103.9659027
68,"321 CLEMENTI AVENUE 3, SINGAPORE 129905",Small,Platinum,249.76,2020,129905,1.31200212,103.7649867
69,"321 CLEMENTI AVENUE 3, SINGAPORE 129905",Small,Platinum,319.3111316763617,2019,129905,1.31200212,103.7649867
70,"30 ORANGE GROVE ROAD, SINGAPORE 258352",Large,GoldPlus,79.56,2020,258352,1.312845275,103.826084
71,"30 ORANGE GROVE ROAD, SINGAPORE 258352",Large,GoldPlus,97.00176045839933,2019,258352,1.312845275,103.826084
72,"100 JALAN SULTAN, SINGAPORE 199001",Large,Gold,175.83,2020,199001,1.302945235,103.8618518
73,"3 KILLINEY ROAD, SINGAPORE 239519",Large,Platinum,117.23,2020,239519,1.299622138,103.8402866
74,"3 KILLINEY ROAD, SINGAPORE 239519",Large,GoldPlus,138.120506293042,2019,239519,1.299622138,103.8402866
75,"163 PENANG ROAD, SINGAPORE 238463",Large,GoldPlus,167.74,2020,238463,1.299540558,103.8409311
76,"163 PENANG ROAD, SINGAPORE 238463",Large,GoldPlus,182.7908449406536,2019,238463,1.299540558,103.8409311
77,"10 COLEMAN STREET, SINGAPORE 179809",Large,Platinum,154.19,2020,179809,1.292650883,103.8502169
78,"10 COLEMAN STREET, SINGAPORE 179809",Large,Platinum,189.68745282091606,2019,179809,1.292650883,103.8502169
79,"112 ROBINSON ROAD, SINGAPORE 068902",Small,Platinum,133.9,2020,68902,1.279282329,103.8488164
80,"1 TANGLIN ROAD, SINGAPORE 247905",Large,Gold,219.6,2020,247905,1.306613308,103.8277641
81,"1 TANGLIN ROAD, SINGAPORE 247905",Large,Gold,240.61845669055032,2019,247905,1.306613308,103.8277641
82,"158 CECIL STREET, SINGAPORE 069545",Small,Gold,137.51,2020,69545,1.279788786,103.8480433
83,"158 CECIL STREET, SINGAPORE 069545",Small,Gold,202.94831092928112,2019,69545,1.279788786,103.8480433
84,"317 OUTRAM ROAD, SINGAPORE 169075",Large,GoldPlus,169.19,2020,169075,1.288967635,103.8341882
85,"317 OUTRAM ROAD, SINGAPORE 169075",Large,GoldPlus,212.63323137559675,2019,169075,1.288967635,103.8341882
86,"51 CHANGI BUSINESS PARK CENTRAL 2, SINGAPORE 486066",Large,Gold,122.0,2020,486066,1.334960464,103.9654453
87,"51 CHANGI BUSINESS PARK CENTRAL 2, SINGAPORE 486066",Large,Certified,138.02386711664207,2019,486066,1.334960464,103.9654453
88,"1 ROCHOR CANAL ROAD, SINGAPORE 188504",Large,Gold,259.91,2020,188504,1.303024276,103.8530378
89,"165 TANJONG PAGAR ROAD, SINGAPORE 088539",Large,GoldPlus,288.81,2020,88539,1.274927658,103.8435495
90,"165 TANJONG PAGAR ROAD, SINGAPORE 088539",Large,GoldPlus,345.35494704598693,2019,88539,1.274927658,103.8435495
91,"60 EU TONG SEN STREET, SINGAPORE 059804",Large,Platinum,194.83,2020,59804,1.286473566,103.8445885
92,"60 EU TONG SEN STREET, SINGAPORE 059804",Large,Platinum,233.64061956143405,2019,59804,1.286473566,103.8445885
93,"10 SCOTTS ROAD, SINGAPORE 228211",Large,Gold,159.59,2020,228211,1.306345338,103.8332833
94,"3 CHURCH STREET, SINGAPORE 049483",Large,GoldPlus,176.38,2020,49483,1.283263223,103.8496265
95,"2 ORCHARD TURN, SINGAPORE 238801",Large,Gold,403.39,2020,238801,1.303980548,103.8320321
96,"2 ORCHARD TURN, SINGAPORE 238801",Large,Gold,475.02112337974074,2019,238801,1.303980548,103.8320321
97,"61 STAMFORD ROAD, SINGAPORE 178892",Small,Platinum,146.64,2020,178892,1.294428856,103.8502264
98,"10 FARRER PARK STATION ROAD, SINGAPORE 217564",Small,GoldPlus,441.85,2020,217564,1.311979798,103.8547786
99,"2 MAGAZINE ROAD, SINGAPORE 059573",Small,Platinum,228.91,2020,59573,1.289136974,103.8420108
100,"2 MAGAZINE ROAD, SINGAPORE 059573",Large,Platinum,268.1876898922176,2019,59573,1.289136974,103.8420108
101,"36 ROBINSON ROAD, SINGAPORE 068877",Large,Platinum,106.92,2020,68877,1.2812202,103.8497983
102,"36 ROBINSON ROAD, SINGAPORE 068877",Large,Platinum,124.87134291377602,2019,68877,1.2812202,103.8497983
103,"22 ORANGE GROVE ROAD, SINGAPORE 258350",Large,Gold,264.74,2020,258350,1.311224382,103.8267881
104,"22 ORANGE GROVE ROAD, SINGAPORE 258350",Large,Gold,353.3166455481815,2019,258350,1.311224382,103.8267881
105,"65 CHULIA STREET, SINGAPORE 049513",Large,Gold,172.67,2020,49513,1.285034139,103.8491028
106,"65 CHULIA STREET, SINGAPORE 049513",Large,Gold,199.94273365388457,2019,49513,1.285034139,103.8491028
107,"63 CHULIA STREET, SINGAPORE 049514",Large,Gold,146.57,2020,49514,1.284890391,103.8496656
108,"63 CHULIA STREET, SINGAPORE 049514",Large,Gold,186.3933963939959,2019,49514,1.284890391,103.8496656
109,"9 CHANGI BUSINESS PARK VISTA, SINGAPORE 486041",Small,Platinum,148.66,2020,486041,1.338516055,103.9647804
110,"9 CHANGI BUSINESS PARK VISTA, SINGAPORE 486041",Small,Platinum,156.73737761416152,2019,486041,1.338516055,103.9647804
111,"21 MEDIA CIRCLE, SINGAPORE 138562",Large,GoldPlus,297.46,2020,138562,1.292384244,103.7946858
112,"1 FUSIONOPOLIS VIEW, SINGAPORE 138577",Large,Platinum,256.61,2020,138577,1.299941797,103.7894043
113,"1 FUSIONOPOLIS VIEW, SINGAPORE 138577",Large,Platinum,277.537975105579,2019,138577,1.299941797,103.7894043
114,"79 ANSON ROAD, SINGAPORE 079906",Large,GoldPlus,128.24,2020,79906,1.274098093,103.8456692
115,"79 ANSON ROAD, SINGAPORE 079906",Large,GoldPlus,155.2377711605747,2019,79906,1.274098093,103.8456692
116,"9 NORTH BUONA VISTA DRIVE, SINGAPORE 138588",Large,Platinum,172.0,2020,138588,1.306245568,103.7912375
117,"9 NORTH BUONA VISTA DRIVE, SINGAPORE 138588",Large,Platinum,211.97900015984655,2019,138588,1.306245568,103.7912375
118,"9 CHANGI BUSINESS PARK CRESCENT, SINGAPORE 486005",Large,Gold,89.71,2020,486005,1.335188612,103.9672637
119,"9 CHANGI BUSINESS PARK CRESCENT, SINGAPORE 486005",Large,Gold,116.75954260822216,2019,486005,1.335188612,103.9672637
120,"7 CHANGI BUSINESS PARK CRESCENT, SINGAPORE 486028",Large,Platinum,165.19,2020,486028,1.334835405,103.9665714
121,"7 CHANGI BUSINESS PARK CRESCENT, SINGAPORE 486028",Large,Platinum,186.35292325306546,2019,486028,1.334835405,103.9665714
122,"21 CHOA CHU KANG AVENUE 4, SINGAPORE 689812",Large,Gold,471.41,2020,689812,1.384974597,103.7450118
123,"9 INTERNATIONAL BUSINESS PARK, SINGAPORE 609915",Small,Gold,805.56,2020,609915,1.324800204,103.7502709
124,"9 INTERNATIONAL BUSINESS PARK, SINGAPORE 609915",Small,Gold,768.096875,2019,609915,1.324800204,103.7502709
125,"28 CAVENAGH ROAD, SINGAPORE 229635",Small,Legislated,228.42,2020,229635,1.301459858,103.8419319
126,"28 CAVENAGH ROAD, SINGAPORE 229635",Large,Certified,303.58973366322226,2019,229635,1.301459858,103.8419319
127,"3 UPPER PICKERING STREET, SINGAPORE 058289",Large,Platinum,270.09,2020,58289,1.285639142,103.8462903
128,"3 UPPER PICKERING STREET, SINGAPORE 058289",Large,Platinum,320.87446539159,2019,58289,1.285639142,103.8462903
