year,level_2,value
1980,"Food, Beverage & Tobacco",2177.9
1980,Textiles & Textile Manufactures,432.7
1980,Wearing Apparel,932.6
1980,"Leather, Leather Products & Footwear",115.3
1980,Wood & Wood Products,806.4
1980,Paper & Paper Products,300.3
1980,Printing & Reproduction Of Recorded Media,570.4
1980,Refined Petroleum Products,11695.1
1980,Chemicals & Chemical Products,703.8
1980,Pharmaceutical & Biological Products,285.7
1980,Rubber & Plastic Products,653.9
1980,Non-Metallic Mineral Products,691.9
1980,Basic Metal,527.8
1980,Fabricated Metal Products,1249.9
1980,"Computer, Electronic & Optical Products",
1980,Electrical Equipment,981.7
1980,Machinery & Equipment,2031.0
1980,"Motor Vehicles, Trailers & Semi-Trailers",132.5
1980,Other Transport Equipment,1955.0
1980,Furniture,287.8
1980,Other Manufacturing Industries,459.0
1981,"Food, Beverage & Tobacco",2312.8
1981,Textiles & Textile Manufactures,388.6
1981,Wearing Apparel,978.5
1981,"Leather, Leather Products & Footwear",120.8
1981,Wood & Wood Products,678.1
1981,Paper & Paper Products,336.2
1981,Printing & Reproduction Of Recorded Media,689.4
1981,Refined Petroleum Products,14598.1
1981,Chemicals & Chemical Products,790.2
1981,Pharmaceutical & Biological Products,302.1
1981,Rubber & Plastic Products,684.0
1981,Non-Metallic Mineral Products,942.8
1981,Basic Metal,471.2
1981,Fabricated Metal Products,1460.6
1981,"Computer, Electronic & Optical Products",5714.9
1981,Electrical Equipment,1066.2
1981,Machinery & Equipment,2979.3
1981,"Motor Vehicles, Trailers & Semi-Trailers",84.0
1981,Other Transport Equipment,2184.2
1981,Furniture,352.6
1981,Other Manufacturing Industries,518.8
1982,"Food, Beverage & Tobacco",2482.9
1982,Textiles & Textile Manufactures,297.8
1982,Wearing Apparel,976.5
1982,"Leather, Leather Products & Footwear",109.4
1982,Wood & Wood Products,563.0
1982,Paper & Paper Products,359.8
1982,Printing & Reproduction Of Recorded Media,742.3
1982,Refined Petroleum Products,14741.2
1982,Chemicals & Chemical Products,852.5
1982,Pharmaceutical & Biological Products,317.5
1982,Rubber & Plastic Products,652.2
1982,Non-Metallic Mineral Products,1124.9
1982,Basic Metal,509.7
1982,Fabricated Metal Products,1572.8
1982,"Computer, Electronic & Optical Products",5116.8
1982,Electrical Equipment,1006.7
