,month,mean_sunshine_hrs,total_rainfall
0,1982-01,5.6,107.1
1,1982-02,7.6,27.8
2,1982-03,5.1,160.8
3,1982-04,4.7,157.0
4,1982-05,5.8,102.2
5,1982-06,7.3,59.5
6,1982-07,7.6,76.3
7,1982-08,5.4,169.5
8,1982-09,5.2,54.1
9,1982-10,5.6,39.3
10,1982-11,5.8,134.0
11,1982-12,3.3,494.1
12,1983-01,4.3,246.0
13,1983-02,9.3,5.6
14,1983-03,8.9,18.6
15,1983-04,6.6,33.6
16,1983-05,5.9,160.8
17,1983-06,5.9,94.0
18,1983-07,5.4,190.0
19,1983-08,6.3,262.2
20,1983-09,3.8,170.8
21,1983-10,5.2,212.7
22,1983-11,3.2,228.8
23,1983-12,2.7,370.6
24,1984-01,4.1,251.2
25,1984-02,4.1,470.4
26,1984-03,5.3,361.3
27,1984-04,6.2,153.1
28,1984-05,6.4,186.5
29,1984-06,5.4,255.0
30,1984-07,5.7,127.2
31,1984-08,6.0,102.7
32,1984-09,4.9,186.7
33,1984-10,5.3,187.5
34,1984-11,4.3,127.7
35,1984-12,3.3,277.4
36,1985-01,8.7,111.1
37,1985-02,6.5,79.3
38,1985-03,5.6,88.0
39,1985-04,5.5,110.5
40,1985-05,5.7,70.1
41,1985-06,5.8,37.0
42,1985-07,5.3,131.8
43,1985-08,6.2,56.9
44,1985-09,5.0,110.7
45,1985-10,4.1,169.0
46,1985-11,4.1,179.4
47,1985-12,4.6,340.1
48,1986-01,3.9,308.2
49,1986-02,7.2,26.7
50,1986-03,4.6,353.4
51,1986-04,6.2,150.0
52,1986-05,6.1,145.1
53,1986-06,6.8,122.9
54,1986-07,6.2,109.7
55,1986-08,5.6,72.9
56,1986-09,4.8,396.0
57,1986-10,5.0,227.3
58,1986-11,4.5,256.7
59,1986-12,5.4,367.2
60,1987-01,4.0,568.6
61,1987-02,9.2,86.9
62,1987-03,6.9,132.5
63,1987-04,6.2,72.5
64,1987-05,5.6,270.0
65,1987-06,6.8,126.6
66,1987-07,6.7,80.9
67,1987-08,5.1,191.9
68,1987-09,5.4,129.9
69,1987-10,5.8,22.6
70,1987-11,4.5,347.6
71,1987-12,4.8,72.8
72,1988-01,5.9,237.5
73,1988-02,6.7,158.1
74,1988-03,5.2,186.8
75,1988-04,5.4,109.6
76,1988-05,5.6,229.6
77,1988-06,6.5,252.2
78,1988-07,6.0,305.4
79,1988-08,4.9,80.1
80,1988-09,4.8,440.4
81,1988-10,4.1,134.6
82,1988-11,3.7,401.4
83,1988-12,5.7,62.9
84,1989-01,5.8,189.7
85,1989-02,6.7,52.4
86,1989-03,4.5,305.9
87,1989-04,5.7,198.6
88,1989-05,5.2,194.0
89,1989-06,6.0,117.6
90,1989-07,6.0,157.6
91,1989-08,5.3,201.0
92,1989-09,5.5,247.3
93,1989-10,5.5,111.0
94,1989-11,5.4,508.4
95,1989-12,4.8,179.7
96,1990-01,5.3,147.4
97,1990-02,8.9,24.1
98,1990-03,8.3,94.2
99,1990-04,6.3,52.4
100,1990-05,6.5,180.1
101,1990-06,6.3,112.6
102,1990-07,5.9,124.0
103,1990-08,5.8,146.6
